nb_transits,obs,Wavelength ($\mu m$),Depth [%],err_depth
42,K2,0.807,0.721,0.021
4,LT,0.9046,0.746,0.036000000000000004
20,SPECULOOS,0.9102,0.76,0.025
6,J,1.25,0.7,0.023
2,NB2090,2.095,0.688,0.049
29,Spitzer_c1,3.6,0.7179,0.0065
25,Spitzer_c2,4.5,0.7194,0.0069
