nb_transits,obs,Wavelength ($\mu m$),Depth [%],err_depth
27,K2,0.807,0.684,0.0219
11,SPECULOOS,0.9046,0.736,0.028999999999999998
4,LT,0.9102,0.7240000000000001,0.027000000000000003
3,J,1.25,0.6409999999999999,0.031
1,NB2090,2.095,0.618,0.04
7,Spitzer_c1,3.6,0.721,0.013
32,Spitzer_c2,4.5,0.699627,0.0058
