chi2,fratio,logg,teff1,teff2,dlogchi2,KEPLER_surface,KEPLER_spot,IRAC_CH1_surface,IRAC_CH1_spot,IRAC_CH2_surface,IRAC_CH2_spot,SPECULOOS_surface,SPECULOOS_spot,PANSTARRS_G_surface,PANSTARRS_G_spot,PANSTARRS_R_surface,PANSTARRS_R_spot,PANSTARRS_I_surface,PANSTARRS_I_spot,PANSTARRS_Z_surface,PANSTARRS_Z_spot,PANSTARRS_Y_surface,PANSTARRS_Y_spot,2MASS_J_surface,2MASS_J_spot,2MASS_H_surface,2MASS_H_spot,2MASS_KS_surface,2MASS_KS_spot,WISE_W1_surface,WISE_W1_spot,WISE_W2_surface,WISE_W2_spot,WISE_W3_surface,WISE_W3_spot,WISE_W4_surface,WISE_W4_spot
55019.25585108794,0.0,5.208396580093247,2200.0,2200.0,2.338401180864609,4.171091864308371e-13,4.171091864308371e-13,1.1398278113407055e-12,1.1398278113407055e-12,6.371707618823021e-13,6.371707618823021e-13,1.7772664624922084e-12,1.7772664624922084e-12,4.24280395340639e-15,4.24280395340639e-15,4.939428317165291e-14,4.939428317165291e-14,2.8375809490573076e-13,2.8375809490573076e-13,1.0175586840752931e-12,1.0175586840752931e-12,1.0509292852475822e-12,1.0509292852475822e-12,6.9088303769792586e-12,6.9088303769792586e-12,6.871503085191895e-12,6.871503085191895e-12,3.3550841608260517e-12,3.3550841608260517e-12,2.3178979052708725e-12,2.3178979052708725e-12,1.1982499690380437e-12,1.1982499690380437e-12,2.8769920994545657e-13,2.8769920994545657e-13,1.7587540094733756e-14,1.7587540094733756e-14
48728.77163513604,0.0,5.208396580093247,2220.0,2220.0,2.285671932445423,4.4660559418766905e-13,4.4660559418766905e-13,1.164634871379164e-12,1.164634871379164e-12,6.537260217133281e-13,6.537260217133281e-13,1.8826331685655347e-12,1.8826331685655347e-12,4.6842511673227656e-15,4.6842511673227656e-15,5.082096159262179e-14,5.082096159262179e-14,3.075092734118158e-13,3.075092734118158e-13,1.0822860838168343e-12,1.0822860838168343e-12,1.1034493378068038e-12,1.1034493378068038e-12,7.143805908610149e-12,7.143805908610149e-12,7.100533247011903e-12,7.100533247011903e-12,3.4728222039600547e-12,3.4728222039600547e-12,2.3730475382273988e-12,2.3730475382273988e-12,1.2300725594917102e-12,1.2300725594917102e-12,2.9172802892354633e-13,2.9172802892354633e-13,1.7861011967609068e-14,1.7861011967609068e-14
42837.93508472186,0.0,5.208396580093247,2240.0,2240.0,2.2297149970952077,4.783390581150476e-13,4.783390581150476e-13,1.189757618793014e-12,1.189757618793014e-12,6.70567159088169e-13,6.70567159088169e-13,1.9937223581784444e-12,1.9937223581784444e-12,5.168577124742142e-15,5.168577124742142e-15,5.235531004094655e-14,5.235531004094655e-14,3.3332338905165015e-13,3.3332338905165015e-13,1.1506672283696016e-12,1.1506672283696016e-12,1.1581140351238331e-12,1.1581140351238331e-12,7.38484434878421e-12,7.38484434878421e-12,7.335221561254876e-12,7.335221561254876e-12,3.5936127393138645e-12,3.5936127393138645e-12,2.4290319463187754e-12,2.4290319463187754e-12,1.26245594921508e-12,1.26245594921508e-12,2.957771676784529e-13,2.957771676784529e-13,1.813624120647962e-14,1.813624120647962e-14
37361.9889226725,0.0,5.208396580093247,2260.0,2260.0,2.1703164560530537,5.124698595862324e-13,5.124698595862324e-13,1.2151973146010634e-12,1.2151973146010634e-12,6.876967250658394e-13,6.876967250658394e-13,2.110828273233899e-12,2.110828273233899e-12,5.699632703614533e-15,5.699632703614533e-15,5.400779411216051e-14,5.400779411216051e-14,3.613637720233238e-13,3.613637720233238e-13,1.2228848135617726e-12,1.2228848135617726e-12,1.2149919935000028e-12,1.2149919935000028e-12,7.632057541907822e-12,7.632057541907822e-12,7.575662211880357e-12,7.575662211880357e-12,3.7175077886026575e-12,3.7175077886026575e-12,2.485857147438458e-12,2.485857147438458e-12,1.2954051914283709e-12,1.2954051914283709e-12,2.9984655854112946e-13,2.9984655854112946e-13,1.8413223495320667e-14,1.8413223495320667e-14
32310.263499438333,0.0,5.208396580093247,2280.0,2280.0,2.107226968538245,5.491695990487845e-13,5.491695990487845e-13,1.2409552149388621e-12,1.2409552149388621e-12,7.051172737589906e-13,7.051172737589906e-13,2.2342601765649283e-12,2.2342601765649283e-12,6.281585617484865e-15,6.281585617484865e-15,5.579019944342366e-14,5.579019944342366e-14,3.918056792452083e-13,3.918056792452083e-13,1.2991296313413535e-12,1.2991296313413535e-12,1.2741534427774823e-12,1.2741534427774823e-12,7.88555874821819e-12,7.88555874821819e-12,7.821950280875888e-12,7.821950280875888e-12,3.844559818957019e-12,3.844559818957019e-12,2.5435291684099737e-12,2.5435291684099737e-12,1.3289253442449957e-12,1.3289253442449957e-12,3.0393613475130917e-13,3.0393613475130917e-13,1.8691954568457793e-14,1.8691954568457793e-14
27686.393848702275,0.0,5.208396580093247,2300.0,2300.0,2.040152861306913,5.886220092343776e-13,5.886220092343776e-13,1.2670325711233011e-12,1.2670325711233011e-12,7.228313623264881e-13,7.228313623264881e-13,2.3643431343404695e-12,2.3643431343404695e-12,6.918944117664691e-15,6.918944117664691e-15,5.771580715942542e-14,5.771580715942542e-14,4.2483708838094465e-13,4.2483708838094465e-13,1.3796008876696882e-12,1.3796008876696882e-12,1.3356702513783301e-12,1.3356702513783301e-12,8.145462657649313e-12,8.145462657649313e-12,8.074181752089364e-12,8.074181752089364e-12,3.974821743353439e-12,3.974821743353439e-12,2.602054045091575e-12,2.602054045091575e-12,1.3630214706655932e-12,1.3630214706655932e-12,3.0804583043740784e-13,3.0804583043740784e-13,1.8972430209538813e-14,1.8972430209538813e-14
22602.687818122282,0.0,5.208396580093247,2320.0,2320.0,1.9520465554317878,6.368297045923064e-13,6.368297045923064e-13,1.293197785504289e-12,1.293197785504289e-12,7.383041290599625e-13,7.383041290599625e-13,2.4995496555958994e-12,2.4995496555958994e-12,7.824446472936761e-15,7.824446472936761e-15,6.088991543695989e-14,6.088991543695989e-14,4.649372565823243e-13,4.649372565823243e-13,1.4677709849658689e-12,1.4677709849658689e-12,1.3923831251987996e-12,1.3923831251987996e-12,8.35779247531781e-12,8.35779247531781e-12,8.290605705253386e-12,8.290605705253386e-12,4.093760196639289e-12,4.093760196639289e-12,2.6605540258130046e-12,2.6605540258130046e-12,1.3923232342073326e-12,1.3923232342073326e-12,3.116067868716635e-13,3.116067868716635e-13,1.9130333069430308e-14,1.9130333069430308e-14
18112.786634488904,0.0,5.208396580093247,2340.0,2340.0,1.8558717399456324,6.88895593054122e-13,6.88895593054122e-13,1.319682642913569e-12,1.319682642913569e-12,7.539738600763263e-13,7.539738600763263e-13,2.6424116395717607e-12,2.6424116395717607e-12,8.840286976682165e-15,8.840286976682165e-15,6.425147739424923e-14,6.425147739424923e-14,5.086686550658236e-13,5.086686550658236e-13,1.5611509860478594e-12,1.5611509860478594e-12,1.4510325456849188e-12,1.4510325456849188e-12,8.574055396037504e-12,8.574055396037504e-12,8.511172667419595e-12,8.511172667419595e-12,4.2152402627742284e-12,4.2152402627742284e-12,2.719875793018439e-12,2.719875793018439e-12,1.4219989388316029e-12,1.4219989388316029e-12,3.1517849667475965e-13,3.1517849667475965e-13,1.928817841794298e-14,1.928817841794298e-14
14199.819463034926,0.0,5.208396580093247,2360.0,2360.0,1.7501692914944993,7.451206135663575e-13,7.451206135663575e-13,1.3464884775225428e-12,1.3464884775225428e-12,7.698414021184962e-13,7.698414021184962e-13,2.793384064064323e-12,2.793384064064323e-12,9.97892701562593e-15,9.97892701562593e-15,6.78128330145807e-14,6.78128330145807e-14,5.56344269259712e-13,5.56344269259712e-13,1.6600292405938751e-12,1.6600292405938751e-12,1.511669226351018e-12,1.511669226351018e-12,8.79429917742663e-12,8.79429917742663e-12,8.735933786078404e-12,8.735933786078404e-12,4.3392955194738084e-12,4.3392955194738084e-12,2.7800242911183345e-12,2.7800242911183345e-12,1.4520501749986019e-12,1.4520501749986019e-12,3.1876090739404033e-13,3.1876090739404033e-13,1.9445966772251807e-14,1.9445966772251807e-14
10841.558210567771,0.0,5.208396580093247,2380.0,2380.0,1.632978174678306,8.058285667595227e-13,8.058285667595227e-13,1.373616619852299e-12,1.373616619852299e-12,7.859075989073988e-13,7.859075989073988e-13,2.9529509059990005e-12,2.9529509059990005e-12,1.1254128036613116e-14,1.1254128036613116e-14,7.158720114918176e-14,7.158720114918176e-14,6.083027012991844e-13,6.083027012991844e-13,1.7647092186949499e-12,1.7647092186949499e-12,1.5743448266309981e-12,1.5743448266309981e-12,9.018571970442062e-12,9.018571970442062e-12,8.964940565664668e-12,8.964940565664668e-12,4.4659597388713454e-12,4.4659597388713454e-12,2.8410044595635826e-12,2.8410044595635826e-12,1.4824785272141338e-12,1.4824785272141338e-12,3.22353967288715e-13,3.22353967288715e-13,1.9603698640537192e-14,1.9603698640537192e-14
