nb_transits,obs,Wavelength ($\mu m$),Depth [%],err_depth
8,K2,0.807,0.449,0.034
2,LT,0.9046,0.475,0.054000000000000006
8,SPECULOOS,0.9102,0.45299999999999996,0.025
2,J,1.25,0.55,0.028999999999999998
5,Spitzer_c1,3.6,0.488904,0.01
12,Spitzer_c2,4.5,0.49506000000000006,0.0075
