nb_transits,obs,Wavelength ($\mu m$),Depth [%],err_depth
1,K2,0.807,0.34700000000000003,0.057999999999999996
1,LT,0.9046,0.257,0.035
3,SPECULOOS,0.9046,0.321,0.036000000000000004
1,Spitzer_c1,3.6,0.312,0.021
6,Spitzer_c2,4.5,0.3478,0.013000000000000001
