nb_transits,obs,Wavelength ($\mu m$),Depth [%],err_depth
1,K2,0.807,0.6679999999999999,0.07
3,SPECULOOS,0.9046,0.755,0.035
3,J,1.25,0.758,0.03
1,Spitzer_c1,3.6,0.7049,0.033
6,Spitzer_c2,4.5,0.740477,0.011000000000000001
