1.0,0.0,7322.51531,0.00071,7322.517902496061,0.0001267859961875673
1.0,2.0,7325.5391,0.001,7325.539171680355,0.00011319057926539266
1.0,4.0,7328.5586,0.0013,7328.561188003394,0.000124086115464508
1.0,6.0,7331.5816,0.001,7331.582576314656,0.00011326655087715538
1.0,8.0,7334.6048,0.00017,7334.604786714518,0.0001207842060835227
1.0,10.0,7337.62644,0.00092,7337.626038115805,0.0001068858056071684
1.0,12.0,7340.6482,0.0014,7340.648104766894,0.00011870446292973587
1.0,15.0,7345.18028,0.0008,7345.180808001689,0.00011649460946999944
1.0,26.0,7361.79945,0.00028,7361.799794278351,9.528447907690081e-5
1.0,28.0,7364.82173,0.00077,7364.821957572521,0.00010840329354139156
1.0,78.0,7440.36518,0.00038,7440.365029596388,7.957106073237844e-5
1.0,86.0,7452.45225,0.00018,7452.451982130614,7.693933889234102e-5
1.0,93.0,7463.0284,0.00024,7463.028310342795,7.8648078641914e-5
1.0,124.0,7509.8646,0.0021,7509.865252456455,6.810527168042653e-5
1.0,126.0,7512.88731,0.00029,7512.886768809699,6.118211462159837e-5
1.0,163.0,7568.7888,0.001,7568.788974344547,5.339143291938232e-5
1.0,175.0,7586.91824,0.00064,7586.9192655443985,3.918491373729649e-5
1.0,177.0,7589.93922,0.00092,7589.941544056664,4.671004786656154e-5
1.0,183.0,7599.0064,0.00021,7599.006276744191,3.7739595666714615e-5
1.0,185.0,7602.02813,0.00036,7602.028553816421,4.485779518416699e-5
1.0,192.0,7612.60595,0.00085,7612.604095190604,3.589938205110681e-5
1.0,194.0,7615.6271,0.0016,7615.626396535792,4.448768701542279e-5
1.0,200.0,7624.69094,0.00066,7624.691115002742,3.505624910550725e-5
1.0,214.0,7645.844,0.0011,7645.843734247364,3.597031650796007e-5
1.0,218.0,7651.88731,0.0002,7651.8874420500115,3.793289030644196e-5
1.0,219.0,7653.39801,0.00033,7653.398070086504,3.838974305565651e-5
1.0,220.0,7654.90908,0.00084,7654.9087459817965,3.6820104449663995e-5
1.0,221.0,7656.419,0.00029,7656.419630747626,3.627782721479067e-5
1.0,222.0,7657.93134,0.00024,7657.930772959514,3.539799306452213e-5
1.0,223.0,7659.44144,0.00017,7659.441462872007,3.3404743084907795e-5
1.0,224.0,7660.95217,0.00021,7660.952220983606,3.302958459596423e-5
1.0,225.0,7662.46367,0.0004,7662.463585717482,3.5027726224578156e-5
1.0,226.0,7663.975297,0.00095,7663.974451287308,3.6026136815412085e-5
1.0,227.0,7665.48546,0.00029,7665.48508312765,3.676064314528811e-5
1.0,228.0,7666.99561,0.00013,7666.99573904161,3.6495514252399957e-5
1.0,229.0,7668.50666,0.00017,7668.506618025885,3.650893985338376e-5
1.0,230.0,7670.01775,0.00019,7670.017814987936,3.479120409880148e-5
1.0,231.0,7671.52791,0.00068,7671.528518912938,3.265054193655122e-5
1.0,236.0,7679.082639,0.00019,7679.082739323974,3.663473246824756e-5
1.0,238.0,7682.10451,0.00022,7682.104861142512,3.408518602643165e-5
1.0,264.0,7721.38747,0.00035,7721.387492384734,2.993694457654758e-5
1.0,276.0,7739.51769856,0.000585,7739.517866732231,4.0131802326051184e-5
1.0,277.0,7741.02787134,0.000545,7741.028689394943,4.0678830691189215e-5
1.0,278.0,7742.53917841,0.00058,7742.54014005721,2.9434087448987972e-5
1.0,279.0,7744.05089378,0.000615,7744.050936110495,2.7560141415844872e-5
1.0,280.0,7745.56163859,0.00072,7745.561617684049,2.8828254176791227e-5
1.0,281.0,7747.07208022,0.000845,7747.072578557886,2.9055292323642505e-5
1.0,282.0,7748.58446499,0.00087,7748.583470777163,3.166230661621496e-5
1.0,283.0,7750.09387196,0.000885,7750.094290125374,3.803311547133234e-5
1.0,284.0,7751.60534962,0.000825,7751.604921472762,4.0367189493236466e-5
1.0,285.0,7753.11622709,0.00075,7753.115729938189,4.070803661541393e-5
1.0,286.0,7754.62804245,0.00077,7754.62719788629,2.8508608040192217e-5
1.0,287.0,7756.13856049,0.000605,7756.138008610082,2.6859376702661582e-5
1.0,288.0,7757.64839752,0.00089,7757.648678898577,2.830523243425129e-5
1.0,289.0,7759.15953334,0.00073,7759.159582619435,2.9105213438368054e-5
1.0,290.0,7760.67112438,0.00082,7760.670476651997,3.182283102647255e-5
1.0,291.0,7762.18119585,0.000735,7762.181342892916,3.838036278174379e-5
1.0,292.0,7763.69220689,0.00071,7763.691980470291,4.019240240115549e-5
1.0,293.0,7765.20297636,0.00077,7765.202778623324,4.031172123898375e-5
1.0,294.0,7766.71479239,0.00055,7766.714254903225,2.7686086575661535e-5
1.0,295.0,7768.22513553,0.001025,7768.225081794642,2.6228939467335513e-5
1.0,296.0,7769.73704291,0.000635,7769.735744211439,2.782899799628093e-5
1.0,297.0,7771.24778221,0.00091,7771.246588704897,2.926471601024439e-5
1.0,298.0,7772.75738408,0.00075,7772.7574809903,3.2027327773146905e-5
1.0,299.0,7774.2684142,0.0008,7774.268402316355,3.8284396188279694e-5
1.0,300.0,7775.77994891,0.00058,7775.77904747816,3.956802976398867e-5
1.0,301.0,7777.28899497,0.00099,7777.289836732312,3.954181376927705e-5
1.0,302.0,7778.80118194,0.00062,7778.80131547299,2.6981599735740204e-5
1.0,303.0,7780.31296762,0.00068,7780.3121520824225,2.570150264704334e-5
1.0,304.0,7781.8223061,0.00145,7781.822803878947,2.7381776951565284e-5
1.0,305.0,7783.33409821,0.00071,7783.333598146624,2.9511794381271408e-5
1.0,306.0,7784.84372221,0.00068,7784.844488432405,3.22239203826644e-5
